user,week,day,arrival_time,departure_time
cjohnsto,2020-08-10,2020-08-16,10:00,10:01
nbwang,2020-08-10,2020-08-14,10:00,12:30
cjohnsto,2020-08-17,2020-08-17,12:15,14:00
abeitz,2020-08-17,2020-08-17,17:00,21:00
cjohnsto,2020-08-17,2020-08-17,14:40,18:05
nbwang,2020-08-17,2020-08-17,10:00,11:00
nbwang,2020-08-17,2020-08-17,13:30,16:00
katiegal,2020-08-17,2020-08-18,11:00,16:00
katiegal,2020-08-17,2020-08-17,10:00,15:00
cjohnsto,2020-08-17,2020-08-18,10:45,13:00
abeitz,2020-08-17,2020-08-18,18:45,22:00
nbwang,2020-08-17,2020-08-18,10:00,13:45
cjohnsto,2020-08-17,2020-08-19,11:45,17:40
abeitz,2020-08-17,2020-08-19,19:30,22:00
nbwang,2020-08-17,2020-08-19,19:30,21:30
katiegal,2020-08-17,2020-08-19,9:30,16:00
katiegal,2020-08-17,2020-08-20,9:30,16:00
mirnakg,2020-08-17,2020-08-17,7:00,13:30
mirnakg,2020-08-17,2020-08-21,12:00,16:00
mirnakg,2020-08-17,2020-08-20,19:00,20:30
mirnakg,2020-08-17,2020-08-20,9:00,15:00
cjohnsto,2020-08-17,2020-08-20,15:40,20:40
abeitz,2020-08-17,2020-08-20,18:45,21:00
nbwang,2020-08-17,2020-08-20,15:00,21:00
mirnakg,2020-08-17,2020-08-21,9:00,13:30
cjohnsto,2020-08-17,2020-08-21,9:50,16:20
abeitz,2020-08-17,2020-08-21,18:00,18:20
nbwang,2020-08-17,2020-08-22,12:00,17:00
cjohnsto,2020-08-17,2020-08-22,12:50,13:00
mirnakg,2020-08-17,2020-08-22,9:00,11:30
abeitz,2020-08-17,2020-08-22,18:45,20:45
nbwang,2020-08-17,2020-08-22,17:00,23:30
nbwang,2020-08-17,2020-08-23,18:30,21:30
nbwang,2020-08-24,2020-08-24,11:00,13:30
cjohnsto,2020-08-24,2020-08-24,11:15,14:40
abeitz,2020-08-24,2020-08-24,15:45,19:45
mirnakg,2020-08-24,2020-08-24,10:40,14:00
cjohnsto,2020-08-24,2020-08-25,9:20,16:40
nbwang,2020-08-24,2020-08-25,12:00,18:00
katiegal,2020-08-24,2020-08-26,9:30,16:00
nbwang,2020-08-24,2020-08-26,10:15,17:00
abeitz,2020-08-24,2020-08-26,17:15,19:00
cjohnsto,2020-08-24,2020-08-27,11:55,13:25
katiegal,2020-08-24,2020-08-27,9:30,16:30
abeitz,2020-08-24,2020-08-27,15:38,17:10
cjohnsto,2020-08-24,2020-08-27,13:45,18:40
nbwang,2020-08-24,2020-08-28,11:30,13:00
cjohnsto,2020-08-24,2020-08-28,10:25,15:45
abeitz,2020-08-24,2020-08-28,14:30,16:15
abeitz,2020-08-24,2020-08-28,17:00,18:20
nbwang,2020-08-24,2020-08-28,22:00,23:30
cjohnsto,2020-08-24,2020-08-29,14:20,15:45
cjohnsto,2020-08-24,2020-08-30,12:05,14:45
nbwang,2020-08-24,2020-08-30,10:30,12:00
cjohnsto,2020-08-31,2020-08-31,12:05,15:30
abeitz,2020-08-31,2020-08-31,17:15,20:25
cjohnsto,2020-08-31,2020-08-31,20:30,23:00
nbwang,2020-08-31,2020-08-31,13:00,20:30
cjohnsto,2020-08-31,2020-09-01,5:45,8:45
abeitz,2020-08-31,2020-09-01,19:00,20:45
cjohnsto,2020-08-31,2020-09-02,10:20,14:15
nbwang,2020-08-31,2020-09-02,12:45,20:00
abeitz,2020-08-31,2020-09-02,13:30,21:00
abeitz,2020-08-31,2020-09-03,15:30,19:00
cjohnsto,2020-08-31,2020-09-03,13:30,20:45
nbwang,2020-08-31,2020-09-03,12:00,19:00
katiegal,2020-08-31,2020-09-04,10:00,16:00
katiegal,2020-08-31,2020-09-02,10:00,16:00
katiegal,2020-08-31,2020-09-03,10:00,16:00
katiegal,2020-08-31,2020-08-31,10:00,16:00
katiegal,2020-08-31,2020-09-01,11:00,15:00
abeitz,2020-08-31,2020-09-04,13:30,16:30
nbwang,2020-08-31,2020-09-04,11:00,15:30
cjohnsto,2020-08-31,2020-09-04,15:00,18:30
abeitz,2020-08-31,2020-09-05,16:30,17:30
cjohnsto,2020-08-31,2020-09-05,13:00,14:00
cjohnsto,2020-08-31,2020-09-06,12:00,13:45
nbwang,2020-08-31,2020-09-05,15:30,16:30
abeitz,2020-08-31,2020-09-06,17:00,17:50
nbwang,2020-08-31,2020-09-06,14:00,15:00
abeitz,2020-09-07,2020-09-07,14:30,16:30
nbwang,2020-09-07,2020-09-07,14:30,16:15
abeitz,2020-09-07,2020-09-08,14:00,17:30
abeitz,2020-09-07,2020-09-09,14:00,16:00
cjohnsto,2020-09-07,2020-09-07,11:30,18:10
cjohnsto,2020-09-07,2020-09-08,12:00,19:00
cjohnsto,2020-09-07,2020-09-09,23:00,23:15
nbwang,2020-09-07,2020-09-08,11:00,17:00
nbwang,2020-09-07,2020-09-09,11:00,16:00
nbwang,2020-09-07,2020-09-10,18:00,20:00
abeitz,2020-09-07,2020-09-10,20:15,21:45
cjohnsto,2020-09-07,2020-09-10,22:15,23:45
cjohnsto,2020-09-07,2020-09-11,17:00,17:45
cjohnsto,2020-09-07,2020-09-13,14:45,17:00
nbwang,2020-09-07,2020-09-11,9:00,18:45
nbwang,2020-09-14,2020-09-14,08:30,10:45
nbwang,2020-09-14,2020-09-14,12:15,17:30
cjohnsto,2020-09-14,2020-09-14,11:30,17:45
abeitz,2020-09-14,2020-09-15,17:00,19:00
nbwang,2020-09-14,2020-09-15,10:00,17:30
cjohnsto,2020-09-14,2020-09-15,12:00,16:00
abeitz,2020-09-14,2020-09-15,14:00,18:40
cjohnsto,2020-09-14,2020-09-15,18:30,23:40
cjohnsto,2020-09-14,2020-09-16,12:00,15:30
abeitz,2020-09-14,2020-09-16,14:30,20:30
nbwang,2020-09-14,2020-09-16,10:00,14:00
abeitz,2020-09-14,2020-09-17,17:00,19:00
abeitz,2020-09-14,2020-09-18,14:00,17:30
cjohnsto,2020-09-14,2020-09-18,15:45,19:10
cjohnsto,2020-09-14,2020-09-19,14:30,15:15
abeitz,2020-09-14,2020-09-19,16:45,19:25
cjohnsto,2020-09-14,2020-09-20,13:40,14:40
cjohnsto,2020-09-14,2020-09-20,16:20,16:50
abeitz,2020-09-14,2020-09-20,17:30,21:00
nbwang,2020-09-21,2020-09-25,9:00,15:00
abeitz,2020-09-21,2020-09-21,15:00,21:00
cjohnsto,2020-09-21,2020-09-21,12:00,15:00
cjohnsto,2020-09-21,2020-09-21,16:00,17:40
cjohnsto,2020-09-21,2020-09-22,15:00,20:20
cjohnsto,2020-09-21,2020-09-23,9:50,14:25
cjohnsto,2020-09-21,2020-09-24,8:30,9:30
cjohnsto,2020-09-21,2020-09-24,22:00,23:15
cjohnsto,2020-09-21,2020-09-25,8:50,10:40
cjohnsto,2020-09-21,2020-09-25,16:30,20:00
cjohnsto,2020-09-21,2020-09-27,11:00,12:15
cjohnsto,2020-09-21,2020-09-26,10:30,11:45
nbwang,2020-09-21,2020-09-22,9:00,15:00
nbwang,2020-09-21,2020-09-24,9:00,14:00
nbwang,2020-09-21,2020-09-23,9:00,15:00
nbwang,2020-09-21,2020-09-25,8:30,15:00
nbwang,2020-09-28,2020-09-28,09:30,15:30
cjohnsto,2020-09-28,2020-09-29,10:30,13:00
cjohnsto,2020-09-28,2020-09-29,16:30,19:00
cjohnsto,2020-09-28,2020-09-29,11:30,14:00
